texts,label
"""It appears so, mon ami,” said Poirot cautiously. “Appearances are deceptive, they say, but it certainly appears so.” As we hurried in a taxi to the Magnificent, I puzzled out the true inwardness of the scheme. “That ‘full of the moon’ idea was clever. The whole point of it was to get us to concentrate on the Friday, and so be off our guard beforehand. It is a pity you did not realize that.” “Ma foi!” said Poirot airily, his nonchalance quite restored after its brief eclipse. “One cannot think of everything!” I felt sorry for him. He did so hate failure of any kind. “Cheer up,” I said consolingly. “Better luck next time.” At the Magnificent, we were ushered at once into the manager’s office.",0
"There was only one diamond, my friend! Originally in the Yardly collection, for three years it has been in the possession of Mr. Rolf. He stole it this morning with the assistance of a touch of grease paint at the corner of each eye! Ah, I must see him on the film, he is indeed an artist, celui-là! “But why should he steal his own diamond?” I asked, puzzled. “For many reasons. To begin with, Lady Yardly was getting restive.” “Lady Yardly?” “You comprehend she was left much alone in California. Her husband was amusing himself elsewhere. Mr. Rolf was handsome, he had an air about him of romance.",0
"But I can’t help feeling that it’s rather a forlorn hope. I’m really pinning my faith to Mr. Carter.” “Then I shouldn’t.” “Why?” “Just an idea of mine.” “Oh; but he must do something. There’s no one else. By the way, I forgot to tell you of a queer thing that happened this morning.” And she narrated her encounter with Sir James Peel Edgerton. Julius was interested. “What did the guy mean, do you think?” he asked. “I don’t quite know,” said Tuppence meditatively. “But I think that, in an ambiguous, legal, without prejudishish lawyer’s way, he was trying to warn me.” “Why should he?” “I don’t know,” confessed Tuppence.",0
"Pagett left the table half-way through the meal, which annoyed me, as I had planned to say goodbye to him. However, doubtless Sir Eustace would do as well. I went over to him when I had finished. “Good-bye, Sir Eustace,” I said. “I’m off to-night to Durban.” Sir Eustace sighed heavily. “So I heard. You wouldn’t like me to come with you, would you?” “I should love it.” “Nice girl. Sure you won’t change your mind and come and look for lions in Rhodesia?” “Quite sure.” “He must be a very handsome fellow,” said Sir Eustace plaintively.",0
"” The letter was written on a foreign type of paper, in a bold characteristic hand: “Villa Geneviève Merlinville-sur-Mer France “Dear Sir, “I am in need of the services of a detective and, for reasons which I will give you later, do not wish to call in the official police. I have heard of you from several quarters, and all reports go to show that you are not only a man of decided ability, but one who also knows how to be discreet. I do not wish to trust details to the post, but, on account of a secret I possess, I go in daily fear of my life.",0
"But we nailed him in Antwerp thanks to Mr. Poirot here.” As these friendly reminiscences were being indulged in, I drew nearer, and was introduced to Detective-Inspector Japp, who, in his turn, introduced us both to his companion, Superintendent Summerhaye. “I need hardly ask what you are doing here, gentlemen,” remarked Poirot. Japp closed one eye knowingly. “No, indeed. Pretty clear case I should say.” But Poirot answered gravely: “There I differ from you.” “Oh, come!” said Summerhaye, opening his lips for the first time. “Surely the whole thing is clear as daylight. The man’s caught red-handed.",0
"And the cup on the mantelpiece, half drunk, that would be Mr. Lawrence Cavendish’s. And the one on the tray?” “John Cavendish’s. I saw him put it down there.” “Good. One, two, three, four, five but where, then, is the cup of Mr. Inglethorp?” “He does not take coffee.” “Then all are accounted for. One moment, my friend.” With infinite care, he took a drop or two from the grounds in each cup, sealing them up in separate test tubes, tasting each in turn as he did so. His physiognomy underwent a curious change.",0
"His body was dressed in shabby clothes, and the face disfigured to prevent identification. Mr. Brown took his place. He sailed immediately for England. None of the real Hersheimmer’s friends or intimates saw him before he sailed though indeed it would hardly have mattered if they had, the impersonation was so perfect. Since then he had been hand and glove with those sworn to hunt him down. Every secret of theirs has been known to him. Only once did he come near disaster. Mrs. Vandemeyer knew his secret. It was no part of his plan that that huge bribe should ever be offered to her.",0
"When I had finished he said unexpectedly: “What do you know of brachycephalic heads?” I mentioned Papa. “The Monkey man? Eh? Well, you seem to have a head of some kind upon your own shoulders, young woman. But it’s all pretty thin, you know. Not much to go upon. And no use to us as it stands.” “I’m perfectly aware of that.” “What d’you want, then?” “I want a job on your paper to investigate this matter.” “Can’t do that. We’ve got our own special man on it.” “And I’ve got my own special knowledge.” “What you’ve just told me, eh?” “Oh, no, Lord Nasby. I’ve still got something up my sleeve.” “Oh, you have, have you? You seem a bright sort of girl.",0
"Even I did not suspect triple imbecile that I was! I thought I had plenty of time before me that she would not try to gain admission to the Villa until much later. She had brains, that beautiful Mademoiselle Marthe.” “And her object was to murder Mrs. Renauld?” “Yes. The whole fortune would then pass to her son. But it would have been suicide, mon ami! On the floor by Marthe Daubreuil’s body, I found a pad and a little bottle of chloroform and a hypodermic syringe containing a fatal dose of morphine. You understand? The chloroform first then when the victim is unconscious the prick of the needle.",0
