texts,label
"There are only six or seven English and American ladies altogether, and they are all much older than the lady you are seeking. It is not here that you will find her, monsieur.” He was so positive that I felt doubts. “But the lady told me she was staying here.” “Monsieur must have made a mistake or it is more likely the lady did, since there has been another gentleman here inquiring for her.” “What is that you say?” I cried, surprised. “But yes, monsieur. A gentleman who described her just as you have done.",0
"""I have reappeared again,” I told him solemnly. “And how are you, Mr. Pagett?” “Very well, thank you looking forward to taking up my work again with Sir Eustace.” “Mr. Pagett,” I said, “there is something I want to ask you. I hope that you won’t be offended, but a lot hangs on it, more than you can possibly guess. I want to know what you were doing at Marlow on the 8th of January last?” He started violently. “Really, Miss Beddingfeld I indeed” “You were there, weren’t you?” “I for reasons of my own I was in the neighbourhood, yes.” “Won’t you tell me what those reasons were?” “Sir Eustace has not already told you?” “Sir Eustace? Does he know?” “I am almost sure that he does.",0
"But who was it Daniels or O’Murphy? It must have been one of the two, or why did the car leave the main road? We cannot suppose that the Prime Minister connived at his own assassination! Did O’Murphy take that turning of his own accord, or was it Daniels who told him to do so?” “Surely it must have been O’Murphy’s doing.” “Yes, because if it was Daniels’ the Prime Minister would have heard the order, and would have asked the reason. But there are altogether too many ‘whys’ in this affair, and they contradict each other.",0
"He seems to regard it as my special personal property. I, on the other hand, regard the charge of it as the only thing where a secretary is really useful. “We’ll get an extra cabin,” I said hastily. The thing seemed simple enough, but Pagett is a person who loves to make mysteries. He came to me the next day with a face like a Renaissance conspirator. “You know you told me to get Cabin 17 for an office?” “Well, what of it? Has the stationery trunk jammed in the doorway?” “The doorways are the same size in all the cabins,” replied Pagett seriously. “But I tell you, Sir Eustace, there’s something very queer about that cabin.” Memories of reading The Upper Berth floated through my mind.",0
"I pulled the cabin trunk out a little farther and said: “Come out at once, please,” in an acid voice. There was no answer. I peered under the bunk. My visitor lay immovable. He seemed to be asleep. I tugged at his shoulder. He did not move. “Dead drunk,” I thought vexedly. “What am I to do?” Then I saw something that made me catch my breath, a small scarlet spot on the floor. Using all my strength, I succeeded in dragging the man out into the middle of the cabin. The dead whiteness of his face showed that he had fainted. I found the cause of his fainting easily enough. He had been stabbed under the left shoulder-blade a nasty deep wound. I got his coat off and set to work to attend to it.",0
"""About three per cent effective, I should say.” We all went round to the other side of the deck. There glimmering white and snowy, enveloped in a delicate rose-coloured mist, rose the glistening pinnacle. I uttered an exclamation of delight. Mrs. Blair ran for her camera. Undeterred by Colonel Race’s sardonic comments, she snapped vigorously: “There, that’s the end of the roll. Oh,” her tone changed to one of chagrin, “I’ve had the thing at ‘bulb’ all the time.” “I always like to see a child with a new toy,” murmured the Colonel. “How horrid you are but I’ve got another roll.",0
"Renauld. It has been a particularly perplexing and baffling mystery to solve. A young hand, like Giraud, who does not place any reliance on the psychology, is almost certain to fail.” “You’re marvellous, Poirot,” I said, with admiration. “Absolutely marvellous. No one on earth but you could have done it!” I think my praise pleased him. For once in his life, he looked almost embarrassed. “Ah, then you no longer despise poor old Papa Poirot? You shift your allegiance back from the human foxhound?” His term for Giraud never failed to make me smile. “Rather.",0
"“I am beginning to suspect Guy Pagett of having committed some dark deed in Florence,” remarked Sir Eustace, gazing after his secretary’s retreating figure. “Whenever Florence or Italy is mentioned, he changes the subject, or bolts precipitately.” “Perhaps he murdered some one there,” said Mrs. Blair hopefully. “He looks I hope I’m not hurting your feelings, Sir Eustace but he does look as though he might murder some one.” “Yes, pure Cinquecento! It amuses me sometimes especially when one knows as well as I do how essentially law-abiding and respectable the poor fellow really is.” “He’s been with you some time, hasn’t he, Sir Eustace?” asked Colonel Race.",0
"The lady’s discovering the robbery so soon upset her plans. No, they’re here right enough. One of the two must have hidden them and it’s very unlikely for the chambermaid to have done so.” “More than unlikely impossible!” said Poirot quietly. “Eh?” The inspector stared. Poirot smiled modestly. “I will demonstrate. Hastings, my good friend, take my watch in your hand with care. It is a family heirloom! Just now I timed Mademoiselle’s movements her first absence from the room was of twelve seconds, her second of fifteen. Now observe my actions. Madame will have the kindness to give me the key of the jewel-case.",0
"What did she expect Miss Pettigrew to think? That I was in the habit of producing Anne Beddingfeld from my pocket at midnight or thereabouts? Very compromising for a man in my position. “I presume,” I said coldly, “that she is in her bed.” I cleared my throat and glanced at Miss Pettigrew, to show that I was ready to resume dictating. I hoped Mrs. Blair would take the hint. She did nothing of the kind. Instead she sank into a chair and waved a slippered foot in an agitated manner. “She’s not in her room. I’ve been there.",0
"I twisted a dagger from his hand, and as Poirot brought down the scarf from his eyes, whilst keeping it wound tightly round his mouth, I jerked up my revolver where he could see it and understand that resistance was useless. As he ceased to struggle Poirot put his mouth close to his ear and began to whisper rapidly. After a minute the man nodded. Then enjoining silence with a movement of the hand, Poirot led the way out of the flat and down the stairs. Our captive followed, and I brought up the rear with the revolver. When we were out in the street, Poirot turned to me. “There is a taxi waiting just round the corner. Give me the revolver.",0
"You have read of a smashed watch or clock recording the exact hour of a crime? So that the time should not rest on Mrs. Renauld’s testimony alone, some one moved on the hands of that wrist watch to two o’clock, and then dashed it violently to the ground. But, as is often the case, they defeated their own object. The glass was smashed, but the mechanism of the watch was uninjured.",0
"He may even have followed her there with that idea in his mind. But he wouldn’t take a bit of black cord and strangle her with it. If he’d done it, he would have strangled her with his bare hands.” Suzanne gave a little shiver. Her eyes narrowed appreciatively. “Hm! Anne, I am beginning to see why you find this young man of yours so attractive!” I got an opportunity of tackling Colonel Race on the following morning. The auction of the sweep had just been concluded, and we walked up and down the deck together. “How’s the gipsy this morning? Longing for land and her caravan?” I shook my head.",0
"” With this promise we took leave of him. He was as good as his word. About eleven o’clock the following day, a scribbled note reached us. “The Dulcibella Sisters are on at the Palace in Coventry. Good luck to you.” Without more ado, we started for Coventry. Poirot made no inquiries at the theatre, but contented himself with booking stalls for the variety performance that evening. The show was wearisome beyond words or perhaps it was only my mood that made it seem so.",0
"The possibility of her son being accused of the murder never occurred to her. How should it, when she believed him safely at sea on board the Anzora? Ah! voilà une femme, Hastings! What force, what self-command! She only made one slip. On his unexpected return: ‘It does not matter now.’ And no one noticed no one realized the significance of those words. What a terrible part she has had to play, poor woman. Imagine the shock when she goes to identify the body and, instead of what she expects, sees the actual lifeless form of the husband she has believed miles away by now.",0
"We parted on that note. ‘You fancy your brains, my girl,’ were his last words. ‘I’ve no book learning, but, for all that, I’ll pit mine against yours any day. We’ll see what we shall see.’ “That was nine years ago. I have stayed with him for a week-end occasionally, and our relations were perfectly amicable, though his views remained unaltered. He never referred to my having matriculated, nor to my B.Sc. For the last three years his health had been failing, and a month ago he died. “I am now coming to the point of my visit. My uncle left a most extraordinary will.",0
"Harper was saying, “I’ve only been six months with the expedition. Yes, I knew Mr. Bleibner’s affairs pretty well.” “Can you recount to me anything concerning his nephew?” “He turned up here one day, not a bad-looking fellow. I’d never met him before, but some of the others had Ames, I think, and Schneider. The old man wasn’t at all pleased to see him. They were at it in no time, hammer and tongs. ‘Not a cent,’ the old man shouted. ‘Not one cent now or when I’m dead. I intend to leave my money to the furtherance of my life’s work. I’ve been talking it over with Mr.",0
"We closed the door and Harry stood by the window which overlooked the landing-stage. The boat was just about to run alongside it. “Who’s that?” called out Harry in a ringing voice. Any doubt we might have had as to our visitors’ intentions was swiftly resolved. A hail of bullets splattered round us. Fortunately neither of us was hit. Harry raised the rifle. It spat murderously, and again and again. I heard two groans and a splash. “That’s given ’em something to think about,” he muttered grimly, as he reached for the second rifle. “Stand well back, Anne, for God’s sake. And load quickly.",0
"""And the nephew? What do you know of his tastes? Was he with the party at all?” “I do not think so. In fact I never knew of his existence till I read of his death in the paper, I do not think he and Mr. Bleibner can have been at all intimate. He never spoke of having any relations.” “Who are the other members of the party?” “Well, there is Dr. Tosswill, a minor official connected with the British Museum; Mr. Schneider of the Metropolitan Museum in New York; a young American secretary; Dr.",0
"“We’ve got a deal on with Lord Yardly. There’s some chance of our arranging to film a play down there in his ancestral pile.” “At Yardly Chase?” I cried, interested. “Why, it’s one of the show places of England.” Miss Marvell nodded. “I guess it’s the real old feudal stuff all right. But he wants a pretty stiff price, and of course I don’t know yet whether the deal will go through, but Greg and I always like to combine business with pleasure.",0
"“He has not all the gifts, no! But I answer for his discretion.” Lord Estair still hesitated, but Mr. Dodge broke in abruptly: “Oh, come on don’t let’s beat about the bush! As far as I can see, the whole of England will know the hole we’re in soon enough. Time’s everything.” “Pray be seated, messieurs,” said Poirot politely. “Will you take the big chair, milord?” Lord Estair started slightly. “You know me?” Poirot smiled. “Certainly. I read the little papers with the pictures.",0
"Events proved my forebodings to be justified. About two o’clock, the telephone rang. Poirot answered it. He listened for some moments, then with a brief “Bien, j’y serai” he rang off, and turned to me. “What do you think, mon ami?” He looked half ashamed, half excited. “The diamond of Miss Marvell, it has been stolen.” “What?” I cried, springing up. “And what about the ‘full of the moon’ now?” Poirot hung his head. “When did this happen?” “This morning, I understand.” I shook my head sadly. “If only you had listened to me. You see I was right.",0
"I have a little idea that these footprints are the most important things we have seen yet.” M. Bex said nothing, merely shrugged his shoulders. He was far too courteous to utter his real opinion. “Shall we proceed?” he asked instead. “Certainly. I can investigate this matter of the footprints later,” said Poirot cheerfully. Instead of following the drive down to the gate, M. Bex turned up a path that branched off at right angles. It led, up a slight incline, round to the right of the house, and was bordered on either side by a kind of shrubbery.",0
"“But, oh,” he lamented, “the sea! The hateful sea!” It was a week later. Beneath our feet was the golden sand of the desert. The hot sun poured down overhead. Poirot, the picture of misery, wilted by my side. The little man was not a good traveller. Our four days’ voyage from Marseilles had been one long agony to him. He had landed at Alexandria the wraith of his former self, even his usual neatness had deserted him. We had arrived in Cairo and had driven out at once to the Mena House Hotel, right in the shadow of the Pyramids. The charm of Egypt had laid hold of me. Not so Poirot.",0
"But where is she? Why didn’t she sail?” A light flashed upon me. “She meant to sail,” I said slowly. “Then why didn’t she?” “Because she was dead. Suzanne, Nadina was the woman murdered at Marlow!” My mind went back to the bare room in the empty house, and there swept over me again that indefinable sensation of menace and evil. With it came the memory of the falling pencil and the discovery of the roll of films. A roll of films that struck a more recent note. Where had I heard of a roll of films? And why did I connect that thought with Mrs. Blair? Suddenly I flew at her and almost shook her in my excitement.",0
"In fact, I don’t know what I should do if I hadn’t got something to fall back upon.” “Don’t say you collect bugs!” “No. I share rooms with a very interesting man. He’s a Belgian an ex-detective. He’s set up as a private detective in London, and he’s doing extraordinarily well. He’s really a very marvellous little man. Time and again he has proved to be right where the official police have failed.” My companion listened with widening eyes. “Isn’t that interesting, now? I just adore crime. I go to all the mysteries on the movies. And when there’s a murder on I just devour the papers.” “Do you remember the Styles Case?” I asked.",0
"If we succeed, we shall make our fortunes!” “Do not be too sure of that, my friend. A rich man and his money are not so easily parted. Me, I have seen a well-known millionaire turn out a tramful of people to seek for a dropped halfpenny.” I acknowledged the wisdom of this. “In any case,” continued Poirot, “it is not the money which attracts me here. Certainly it will be pleasant to have carte blanche in our investigations; one can be sure that way of wasting no time, but it is something a little bizarre in this problem which arouses my interest. You remarked the postscript? How did it strike you?” I considered.",0
"I did not delude myself into the belief that that really meant anything. It was probably a mere whim of the moment. All the same, I had it in my power to interest her. She was a woman who had experienced most of the ordinary sensations of life. I proposed to supply her with an extraordinary one! And I liked her; liked her ease of manner, her lack of sentimentality, her freedom from any form of affectation. My mind was made up. I decided to seek her out then and there. She would hardly be in bed yet. Then I remembered that I did not know the number of her cabin.",0
"So far he has been a nice little source of income to the Daubreuil mother and daughter, but now he proposes to escape from their toils. At first, possibly, her idea is to prevent that escape. But a bolder idea takes its place, and one that fails to horrify the daughter of Jeanne Beroldy! At present M. Renauld stands inexorably in the way of her marriage with Jack. If the latter defies his father, he will be a pauper which is not at all to the mind of Mademoiselle Marthe. In fact, I doubt if she has ever cared a straw for Jack Renauld.",0
"""Almost ancestor worship, in fact?” “Something of the kind.” “And you really think that’s true? That women worship strength, I mean?” “I think it’s quite true if one’s honest. You think you admire moral qualities, but when you fall in love, you revert to the primitive where the physical is all that counts. But I don’t think that’s the end if you lived in primitive conditions it would be all right, but you don’t and so, in the end, the other thing wins after all. It’s the things that are apparently conquered that always do win, isn’t it? They win in the only way that counts. Like what the Bible says about losing your soul and finding it.",0
"Mr. Lowen reiterated his regrets and took his departure. “Well, as every one knows, Mr. Davenheim did not return. Early on Sunday morning the police were communicated with, but could make neither head nor tail of the matter. Mr. Davenheim seemed literally to have vanished into thin air. He had not been to the post office; nor had he been seen passing through the village. At the station they were positive he had not departed by any train. His own motor had not left the garage. If he had hired a car to meet him in some lonely spot, it seems almost certain that by this time, in view of the large reward offered for information, the driver of it would have come forward to tell what he knew.",0
"“M. Bex!” he called. “See here. Here are plenty of traces for you.” The commissary joined him and smiled. “My dear M. Poirot, those are without doubt the footprints of the gardener’s large hobnailed boots. In any case, it would have no importance, since this side we have no tree, and consequently no means of gaining access to the upper story.” “True,” said Poirot, evidently crestfallen. “So you think these footprints are of no importance?” “Not the least in the world.” Then, to my utter astonishment, Poirot pronounced these words: “I do not agree with you.",0
"Please, please, order some more milk and another plate of cake.” Colonel Race departed silently to do my bidding. The cats had begun miaowing again. He returned with a big jug of milk and the cats finished it all. I got up with determination on my face. “I’m going to take those cats home with us I shan’t leave them here.” “My dear child, don’t be absurd. You can’t carry six cats as well as fifty wooden animals round with you.” “Never mind the wooden animals. These cats are alive. I shall take them back with me.” “You will do nothing of the kind.",0
"“Two shots fired, I see,” he observed, as he handed it back. “And now, madame, if I might see” He paused delicately. “The servant shall take you,” she murmured, averting her head. The parlourmaid, summoned, led Poirot upstairs. I remained with the lovely and unfortunate woman. It was hard to know whether to speak or remain silent. I essayed one or two general reflections to which she responded absently, and in a very few minutes Poirot rejoined us. “I thank you for all your courtesy, madame. I do not think you need be troubled any further with this matter. By the way, do you know anything of your husband’s financial position?” She shook her head.",0
"But in real life there was absolutely no guarantee that Anna the Adventuress might not terminate abruptly at the end of any Episode. Yes, I was in a tight place. All the things that Rayburn had said that morning came back to me with unpleasant distinctness. Tell the truth, he had said. Well, I could always do that, but was it going to help me? To begin with, would my story be believed? Would they consider it likely or possible that I had started off on this mad escapade simply on the strength of a scrap of paper smelling of moth balls? It sounded to me a wildly incredible tale.",0
"‘I’ve left you nothing in my will,’ says he, ‘but each year I live you’ll have this to be a nest-egg when I’m gone’; and sure enough, so he did.” Poirot reflected. “After you had signed the second time, what did Mr. Marsh do? Do you know?” “Went out to the village to pay tradesmen’s books.” That did not seem very promising. Poirot tried another tack. He held out the key of the desk. “Is that your master’s writing?” I may have imagined it, but I fancied that a moment or two elapsed before Baker replied: “Yes, sir, it is.",0
"It must have been about a quarter of an hour later when the door of our sitting-room flew open, and a distracted female precipitated herself into the room. “Oh, doctor, you’re wanted! Such a terrible voice. It gave me a turn, it did indeed.” I recognized in our new visitor Dr. Hawker’s housekeeper, Miss Rider. The doctor was a bachelor, and lived in a gloomy old house a few streets away. The usually placid Miss Rider was now in a state bordering on incoherence.",0
"""What did your uncle say?” “He seemed rather annoyed, but went off at once. It was about five minutes later that I heard the sound of raised voices. I ran out into the hall and almost collided with Mrs. Middleton. Then we heard the shot. The gun-room door was locked on the inside, and we had to go right round the house to the window. Of course that took some time, and the murderer had been able to get well away. My poor uncle” her voice faltered “had been shot through the head. I saw at once that he was dead. I sent Mrs. Middleton for the police. I was careful to touch nothing in the room but to leave it exactly as I found it.",0
"” He paused. “You mean,” she said in a low voice, “the identification of my husband’s body?” The magistrate bowed his head. “I am a strong woman, monsieur. I can bear all that is required of me. I am ready now.” “Oh, tomorrow will be quite soon enough, I assure you ” “I prefer to get it over,” she said in a low tone, a spasm of pain crossing her face. “If you will be so good as to give me your arm, Doctor?” The doctor hastened forward, a cloak was thrown over Mrs. Renauld’s shoulders, and a slow procession went down the stairs. M. Bex hurried on ahead to open the door of the shed.",0
"On the contrary I hugged myself with secret satisfaction. I am not quite a fool. “All the same,” I said gravely, “I think we shall.” “Why?” I shook my head, unable to explain the feeling that had actuated my words. “I never wish to see you again,” he said suddenly and violently. It was really a very rude thing to say, but I only laughed softly and slipped away into the darkness. I heard him start after me, and then pause, and a word floated down the deck. I think it was a “witch”!  (Extract from the diary of Sir Eustace Pedler)  Mount Nelson Hotel,  Cape Town. It is really the greatest relief to get off the Kilmorden.",0
"The terms of her letter are those of a woman genuinely in love, and she would probably deeply resent being offered money. In the end he got rid of her, and here the words that he used are significant.” “‘Yes, yes, but for God’s sake go now,’” I repeated. “They seem to me a little vehement, perhaps, that is all.” “That is enough. He was desperately anxious for the girl to go. Why? Not only because the interview was unpleasant. No, it was the time that was slipping by, and for some reason time was precious.” “Why should it be?” I asked, bewildered. “That is what we ask ourselves.",0
"I’ve made rather an ass of myself in many ways, Monsieur Poirot and I’m head over ears in debt but I want to pull up. I’m fond of the kids, and I want to straighten things up, and be able to live on at the old place. Gregory Rolf is offering me big money enough to set me on my feet again. I don’t want to do it I hate the thought of all that crowd play-acting round the Chase but I may have to, unless” He broke off. Poirot eyed him keenly.",0
"Renauld continued, addressing the magistrate: “I ought, perhaps, to have spoken to my husband on the subject, but I hoped that it was only a boy and girl flirtation which would blow over all the quicker if no notice was taken of it. I blame myself now for my silence, but my husband, as I told you, had seemed so anxious and care-worn, different altogether from his normal self, that I was chiefly concerned not to give him any additional worry.” M. Hautet nodded. “When you informed your father of your intentions towards Mademoiselle Daubreuil,” he resumed, “he was surprised?” “He seemed completely taken aback.",0
"She was middle-aged, and her once dark hair was now almost entirely silvered, but the intense vitality and strength of her personality would have made itself felt anywhere. You knew at once that you were in the presence of what the French call “une maitresse femme.” She greeted us with a dignified inclination of the head. “Pray be seated, monsieurs.” We took chairs, and the magistrate’s clerk established himself at a round table. “I hope, madame,” began M. Hautet, “that it will not distress you unduly to relate to us what occurred last night?” “Not at all, monsieur. I know the value of time, if these scoundrelly assassins are to be caught and punished.",0
"” This placid way of taking things did not quite commend itself to me. “If you don’t mind ” I said, and hesitated. “Not in the least. You wish to investigate on your own account, eh?” “Well, I’d rather like to have a look at Giraud, if he’s anywhere about, and see what he’s up to.” “The human foxhound,” murmured Poirot, as he leaned back in a comfortable chair, and closed his eyes. “By all means, my friend. Au revoir.” I strolled out of the front door. It was certainly hot. I turned up the path we had taken the day before.",0
"Then I managed to get a copy of a wireless message sent to Nadina by some one on board the Kilmorden_ either Carton or Rayburn, I didn’t know which. It was a duplicate of that piece of paper you picked up. ‘Seventeen one twenty two,’ it ran. I took it to be an appointment with Rayburn, and when he was so desperate to get aboard the Kilmorden I was convinced that I was right. So I pretended to swallow his statements, and let him come. I kept a pretty sharp watch upon him and hoped that I should learn more. Then I found Minks trying to play a lone hand and interfering with me. I soon stopped that. He came to heel all right.",0
"I realized that as we went up the stairs of the tall house in a quiet Kensington Square. Mrs. Flemming greeted me pleasantly enough. She was a stout, placid woman of the “good wife and mother” type. She took me up to a spotless chintz-hung bedroom, hoped I had everything I wanted, informed me that tea would be ready in about a quarter of an hour, and left me to my own devices. I heard her voice, slightly raised, as she entered the drawing-room below on the first floor. “Well, Henry, why on earth” I lost the rest, but the acerbity of the tone was evident.",0
"Had he been pumping me? Were those slight inaccuracies just tests to see whether I really knew what I was talking about? In other words, he suspected me of not being genuinely Anne Beddingfeld. Why?  (Extract from the diary of Sir Eustace Pedler) There is something to be said for life on board ship. It is peaceful. My grey hairs fortunately exempt me from the indignities of bobbing for apples, running up and down the deck with potatoes and eggs, and the more painful sports of “Brother Bill” and Bolster Bar.",0
"A Kafir boy was sitting by the hall door. He had not seen me, indeed I soon realized by his breathing that he was fast asleep. Should I retreat, or should I go on? The voices came from the room I had been shown into on arrival. One of them was that of my Dutch friend, the other I could not for the moment recognize, though it seemed vaguely familiar. In the end I decided that it was clearly my duty to hear all I could. I must risk the Kafir boy waking up. I crossed the hall noiselessly and knelt by the study door. For a moment or two I could hear no better. The voices were louder, but I could not distinguish what they said.",0
"” Afraid of being discovered listening, Graves had then hurried out to do his master’s errand. This evening the two men had arrived punctually at eight. During dinner they had talked of indifferent matters politics, the weather, and the theatrical world. When Graves had placed the port upon the table and brought in the coffee his master told him that he might have the evening off. “Was that a usual proceeding of his when he had guests?” asked the inspector. “No, sir; it wasn’t.",0
"Then, when I had told him kindly but firmly that we were going to remain here, he went to the other extreme, wished he had his rifle here, and began bucking about some bridge he guarded during the Great War. A railway bridge at Little Puddecombe junction, or something of that sort. I soon cut that short by telling him to unpack the big typewriter. I thought that that would keep him employed for some time, because the typewriter was sure to have gone wrong it always does and he would have to take it somewhere to be mended. But I had forgotten Pagett’s powers of being in the right. “I’ve already unpacked all the cases, Sir Eustace.",0
"Ten minutes later I was speeding along in the direction of Cape Town. I must know if Chichester was on the boat. Whether to sail on her myself or not, I could not determine, but in the end I decided to do so. Chichester would not know that I had seen him in the Villa at Muizenberg. He would doubtless lay further traps for me, but I was forewarned. And he was the man I was after, the man who was seeking the diamonds on behalf of the mysterious “Colonel.” Alas, for my plans! As I arrived at the docks, the Kilmorden Castle was steaming out to sea.",0
"The black silk handbag which she carried contained a well-filled notecase and some loose change, a fine lace handkerchief, unmarked, and the return half of a first-class ticket to London. Nothing much there to go upon. Such were the details published broadcast by the Daily Budget, and “Find the Man in the Brown Suit” was their daily war-cry. On an average about five hundred people wrote daily to announce their success in the quest, and tall young men with well-tanned faces cursed the day when their tailors had persuaded them to a brown suit.",0
